               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.025052,             0.11247,           0.0010527,             0.86626,             0.88917,             0.90495,             0.60429,            0.025701,              0.1311,          0.00079163,            0.003169,            0.003169,            0.003169
                  71,             0.02396,             0.10645,          0.00085857,             0.88015,             0.87516,             0.90489,             0.60769,             0.02565,              0.1177,          0.00072022,             0.00307,             0.00307,             0.00307
                  72,            0.024254,             0.10698,          0.00086749,             0.86866,             0.88515,             0.89321,             0.60829,            0.025489,             0.11757,          0.00068336,            0.002971,            0.002971,            0.002971
                  73,            0.024505,             0.11058,          0.00084676,              0.8725,             0.85115,             0.89146,              0.6044,             0.02577,             0.12425,          0.00064495,            0.002872,            0.002872,            0.002872
                  74,            0.024035,             0.10228,          0.00084614,              0.8553,             0.87938,             0.88674,              0.5882,            0.026181,             0.13037,          0.00066334,            0.002773,            0.002773,            0.002773
                  75,            0.023808,              0.1118,          0.00092271,             0.86791,             0.89445,              0.8945,             0.60221,            0.025449,             0.12258,          0.00065143,            0.002674,            0.002674,            0.002674
                  76,            0.023943,             0.10505,          0.00083895,             0.85671,             0.87052,              0.8853,             0.60133,            0.025791,             0.12558,          0.00070491,            0.002575,            0.002575,            0.002575
                  77,            0.023548,             0.10449,          0.00093643,             0.85837,             0.88875,             0.89987,             0.60518,            0.025558,             0.13111,          0.00066672,            0.002476,            0.002476,            0.002476
                  78,            0.023839,             0.10499,          0.00087123,             0.82856,              0.9006,             0.89452,             0.60438,             0.02542,             0.12288,          0.00066021,            0.002377,            0.002377,            0.002377
                  79,            0.023276,             0.10142,          0.00075585,             0.86924,             0.88121,               0.892,             0.60795,            0.025835,             0.12893,          0.00065683,            0.002278,            0.002278,            0.002278
                  80,            0.023779,             0.10683,          0.00074095,             0.87224,             0.87476,             0.89084,             0.61273,            0.025666,             0.12557,          0.00063784,            0.002179,            0.002179,            0.002179
                  81,            0.023588,             0.10332,          0.00074884,             0.86619,             0.87318,             0.88856,              0.6003,            0.025728,             0.13081,          0.00064254,             0.00208,             0.00208,             0.00208
                  82,            0.022913,             0.10248,          0.00075878,             0.86614,             0.88046,             0.88791,             0.60665,            0.025472,             0.12611,          0.00057975,            0.001981,            0.001981,            0.001981
                  83,            0.023269,             0.10346,           0.0007069,             0.86722,             0.86157,             0.89433,             0.60404,             0.02615,             0.14396,          0.00062707,            0.001882,            0.001882,            0.001882
                  84,            0.023344,             0.10286,          0.00070968,             0.85185,             0.89446,             0.89669,             0.61099,            0.025129,             0.12365,          0.00058355,            0.001783,            0.001783,            0.001783
                  85,            0.022904,             0.09845,          0.00078115,             0.86097,             0.84879,             0.87267,             0.60193,            0.025731,             0.13297,          0.00060536,            0.001684,            0.001684,            0.001684
                  86,            0.022965,             0.09914,          0.00082112,             0.86679,             0.88698,              0.8966,             0.61048,            0.024954,             0.12509,          0.00054857,            0.001585,            0.001585,            0.001585
                  87,            0.022845,             0.10365,          0.00077212,             0.88618,             0.84684,             0.88863,             0.60761,            0.025138,             0.12419,          0.00054897,            0.001486,            0.001486,            0.001486
